CASING_ID,READING_DTTM,Water_Level_Elevation_meter_above_sea_level,Confid_Level
W0000031-1,2021-04-26 1:00,290.8283,8
W0000031-1,2021-04-26 2:00,290.8281,8
W0000031-1,2021-04-26 3:00,290.8337,8
W0000031-1,2021-04-26 4:00,290.8306,8
W0000031-1,2021-04-26 5:00,290.8287,8
W0000031-1,2021-04-26 6:00,290.8307,8
W0000031-1,2021-04-26 7:00,290.8285,8
W0000031-1,2021-04-26 8:00,290.826,8
W0000031-1,2021-04-26 9:00,290.8209,8
W0000031-1,2021-04-26 10:00,290.821,8
W0000031-1,2021-04-26 11:00,290.8196,8
W0000031-1,2021-04-26 12:00,290.8446,8
W0000031-1,2021-04-26 13:00,290.833,8
W0000031-1,2021-04-26 14:00,290.838,8
W0000031-1,2021-04-26 15:00,290.8417,8
W0000031-1,2021-04-26 16:00,290.8403,8
W0000031-1,2021-04-26 17:00,290.8451,8
W0000031-1,2021-04-26 18:00,290.8408,8
W0000031-1,2021-04-26 19:00,290.8416,8
W0000031-1,2021-04-26 20:00,290.845,8
W0000031-1,2021-04-26 21:00,290.8439,8
W0000031-1,2021-04-26 22:00,290.842,8
W0000031-1,2021-04-26 23:00,290.8551,8
W0000031-1,2021-04-27 0:00,290.8375,8
W0000031-1,2021-04-27 1:00,290.8401,8
W0000031-1,2021-04-27 2:00,290.8358,8
W0000031-1,2021-04-27 3:00,290.8411,8
W0000031-1,2021-04-27 4:00,290.8398,8
W0000031-1,2021-04-27 5:00,290.8411,8
W0000031-1,2021-04-27 6:00,290.8457,8
W0000031-1,2021-04-27 7:00,290.8481,8
W0000031-1,2021-04-27 8:00,290.8441,8
W0000031-1,2021-04-27 9:00,290.8406,8
W0000031-1,2021-04-27 10:00,290.8402,8
W0000031-1,2021-04-27 11:00,290.8397,8
W0000031-1,2021-04-27 12:00,290.8397,8
W0000031-1,2021-04-27 13:00,290.8339,8
W0000031-1,2021-04-27 14:00,290.8371,8
W0000031-1,2021-04-27 15:00,290.8329,8
W0000031-1,2021-04-27 16:00,290.8386,8
W0000031-1,2021-04-27 17:00,290.8354,8
W0000031-1,2021-04-27 18:00,290.8384,8
W0000031-1,2021-04-27 19:00,290.8463,8
W0000031-1,2021-04-27 20:00,290.8465,8
W0000031-1,2021-04-27 21:00,290.8441,8
W0000031-1,2021-04-27 22:00,290.8444,8
W0000031-1,2021-04-27 23:00,290.841,8
W0000031-1,2021-04-28 0:00,290.8365,8
W0000031-1,2021-04-28 1:00,290.8379,8
W0000031-1,2021-04-28 2:00,290.8413,8
W0000031-1,2021-04-28 3:00,290.8346,8
W0000031-1,2021-04-28 4:00,290.8358,8
W0000031-1,2021-04-28 5:00,290.836,8
W0000031-1,2021-04-28 6:00,290.8375,8
W0000031-1,2021-04-28 7:00,290.8347,8
W0000031-1,2021-04-28 8:00,290.8375,8
W0000031-1,2021-04-28 9:00,290.8354,8
W0000031-1,2021-04-28 10:00,290.8489,8
W0000031-1,2021-04-28 11:00,290.8276,8
W0000031-1,2021-04-28 12:00,290.8377,8
W0000031-1,2021-04-28 13:00,290.8298,8
W0000031-1,2021-04-28 14:00,290.8306,8
W0000031-1,2021-04-28 15:00,290.8343,8
W0000031-1,2021-04-28 16:00,290.8384,8
W0000031-1,2021-04-28 17:00,290.8388,8
W0000031-1,2021-04-28 18:00,290.8405,8
W0000031-1,2021-04-28 19:00,290.8434,8
W0000031-1,2021-04-28 20:00,290.8374,8
W0000031-1,2021-04-28 21:00,290.8332,8
W0000031-1,2021-04-28 22:00,290.8338,8
W0000031-1,2021-04-28 23:00,290.8321,8
W0000031-1,2021-04-29 0:00,290.8306,8
W0000031-1,2021-04-29 1:00,290.8247,8
W0000031-1,2021-04-29 2:00,290.8351,8
W0000031-1,2021-04-29 3:00,290.8191,8
W0000031-1,2021-04-29 4:00,290.8373,8
W0000031-1,2021-04-29 5:00,290.8244,8
W0000031-1,2021-04-29 6:00,290.8357,8
W0000031-1,2021-04-29 7:00,290.819,8
W0000031-1,2021-04-29 8:00,290.8299,8
W0000031-1,2021-04-29 9:00,290.8241,8
W0000031-1,2021-04-29 10:00,290.8226,8
W0000031-1,2021-04-29 11:00,290.8343,8
W0000031-1,2021-04-29 12:00,290.8223,8
W0000031-1,2021-04-29 13:00,290.8198,8
W0000031-1,2021-04-29 14:00,290.8289,8
W0000031-1,2021-04-29 15:00,290.8283,8
W0000031-1,2021-04-29 16:00,290.8347,8
